file,gsm_id,condition,donor
GSM5277170_NS-AR001.csv.gz,GSM5277170,NS,AR001
GSM5277171_NS-AR003.csv.gz,GSM5277171,NS,AR003
GSM5277172_NS-AR004.csv.gz,GSM5277172,NS,AR004
GSM5277173_NS-AR005.csv.gz,GSM5277173,NS,AR005
GSM5277174_NS-AR006.csv.gz,GSM5277174,NS,AR006
GSM5277175_NS-AR007.csv.gz,GSM5277175,NS,AR007
GSM5277176_NS-AR008.csv.gz,GSM5277176,NS,AR008
GSM5277177_NS-AR009.csv.gz,GSM5277177,NS,AR009
GSM5277178_PN-30696.csv.gz,GSM5277178,PN,30696
GSM5277179_PN-30696V3.csv.gz,GSM5277179,PN,30696V3
GSM5277180_PN-31170.csv.gz,GSM5277180,PN,31170
GSM5277181_PN-31277.csv.gz,GSM5277181,PN,31277
GSM5277182_PN-369PC.csv.gz,GSM5277182,PN,369PC
GSM5277183_PN-5851.csv.gz,GSM5277183,PN,5851
GSM5277184_PN-7802ED.csv.gz,GSM5277184,PN,7802ED
GSM5277185_PN-8659ED.csv.gz,GSM5277185,PN,8659ED
GSM5277186_PN-8940.csv.gz,GSM5277186,PN,8940
GSM5277187_PN-929.csv.gz,GSM5277187,PN,929
GSM5277188_PN-9709PC.csv.gz,GSM5277188,PN,9709PC
GSM5277189_PP-30696.csv.gz,GSM5277189,PP,30696
GSM5277190_PP-30696V3.csv.gz,GSM5277190,PP,30696V3
GSM5277191_PP-31170.csv.gz,GSM5277191,PP,31170
GSM5277192_PP-31277.csv.gz,GSM5277192,PP,31277
GSM5277193_PP-31499.csv.gz,GSM5277193,PP,31499
GSM5277194_PP-369PC.csv.gz,GSM5277194,PP,369PC
GSM5277195_PP-5851.csv.gz,GSM5277195,PP,5851
GSM5277196_PP-6215A.csv.gz,GSM5277196,PP,6215A
GSM5277197_PP-6215B.csv.gz,GSM5277197,PP,6215B
GSM5277198_PP-7802ED.csv.gz,GSM5277198,PP,7802ED
GSM5277199_PP-8659ED.csv.gz,GSM5277199,PP,8659ED
GSM5277200_PP-8940.csv.gz,GSM5277200,PP,8940
GSM5277201_PP-929.csv.gz,GSM5277201,PP,929
GSM5277202_PP-9709PC.csv.gz,GSM5277202,PP,9709PC
